,tagname,tagcount
"","Planning-IT","1"
"","sowie","1"
"","EAM","1"
"","und","1"
"","Domain-","1"
"","/","1"
"","Portfoliomanagement","1"
"","Methoden","1"
"","Visual","1"
"","Age","1"
"","für","1"
"","Java","1"
"","(SEU)","1"
"","JSP","1"
"","Java","1"
"","1.3","1"
"","Internet","1"
"","Explorer","1"
"","Websphere","1"
"","Application","1"
"","Server","1"
"","auf","1"
"","AIX","1"
"","Innovator","1"
"","(UML-Werkzeuge","1"
"","der","1"
"","MID)","1"
"","Lotus","1"
"","Notes","1"
"","Scrum","1"
"","Business","1"
"","Analyse","1"
"","Confluence","1"
"","Redmine","1"
"","Assentis","1"
"","DocFamily","1"
"","Java","1"
"","XML","1"
"","Web-Frontend","1"
"","Webservices","1"
"","Oracle","1"
"","WebLogic","1"
"","Microsoft","1"
"","SQL-Server","1"
"","2012","1"
"","(incl.","1"
"","SSIS","1"
"","SSAS","1"
"","SSRS)","1"
"","SVN","1"
"","","1"
"","MS","1"
"","Sharepoint","1"
"","2013","1"
"","Microsoft","1"
"","Excel","1"
"","mit","1"
"","PowerPivot","1"
"","SAMOS","1"
"","von","1"
"","Global","1"
"","Side.","1"
"","Java","1"
"","XML","1"
"","Web-Frontend","1"
"","Webservices","1"
"","Oracle","1"
"","WebLogic","1"
"","Java","1"
"","8","1"
"","JavaFX","1"
"","Angular","1"
"","Swift","1"
"","SIP","1"
"","SRTP","1"
"","HiveMQ","1"
"","Spring","1"
"","Boot","1"
"","REST","1"
"","Asterisk","1"
"","Java","1"
"","7","1"
"","Spring","1"
"","Hibernate","1"
"","Oracle","1"
"","DB","1"
"","Ext.","1"
"","GWT","1"
"","(GXT)","1"
"","OpenLayers","1"
"","BIRT","1"
"","SOAP","1"
"","Java","1"
"","6","1"
"","Spring","1"
"","Batch","1"
"","Oracle","1"
"","DBMS","1"
"","SQL","1"
"","Ext.","1"
"","GWT","1"
"","(GXT)","1"
"","BIRT","1"
"","iOS","1"
"","/","1"
"","Swift","1"
"","Android","1"
"","/","1"
"","Kotlin","1"
"","Java","1"
"","Reactive","1"
"","Programming","1"
"","Spring","1"
"","Pivotal","1"
"","Cloud","1"
"","Foundry","1"
"","Hystrix","1"
"","agile","1"
"","Methoden","1"
"","Java","1"
"","Spring","1"
"","Boot","1"
"","2","1"
"","Angular","1"
"","6","1"
"","JPA/Hibernate","1"
"","PostgreSQL","1"
"","Java","1"
"","8","1"
"","Angular","1"
"","GWT","1"
"","MySQL","1"
"","SQLite","1"
"","Velocity","1"
"","Spring","1"
"","Boot","1"
"","SAP","1"
"","SOAP","1"
"","REST","1"
"","Java","1"
"","8","1"
"","AngularJS","1"
"","1","1"
"","Spring","1"
"","Boot","1"
"","Hibernate","1"
"","Postgres","1"
"","OpenLayers","1"
"","GeoServer","1"
"","SAP","1"
"","IS-U","1"
"","SAP","1"
"","CRM","1"
"","iMSys","1"
"","SMGW","1"
"","GWA","1"
